ID,LIMIT_BAL,MARITAL,EDUCATION,SEX,AGE,DELAY1,DELAY2,BILLING1,BILLING2,PAYMENT1,PAYMENT2,TARGET
1337,70000,Single,Univ,Female,40,0,0,67572,58969,2124,2311,0
1338,90000,Single,Univ,Female,39,0,0,86830,94016,9000,0,0
1339,120000,Single,Univ,Female,35,0,0,46953,48670,2500,2000,0
1340,160000,Single,Univ,Female,40,0,0,0,0,0,0,0
1341,130000,Single,Other,Female,37,2,0,1478,1501,1501,2598,0
1342,40000,Single,Univ,Male,33,0,0,40034,36549,2027,1207,0
1343,80000,Married,GradSch,Female,33,0,0,550,1606,1606,4,0
1344,230000,Single,GradSch,Female,36,0,0,1985,7150,8075,20200,0
1345,290000,Married,Univ,Male,43,0,0,24709,291,291,6170,0
1346,150000,Married,Univ,Male,37,0,0,6750,15227,15227,17610,0
1347,240000,Married,GradSch,Female,38,1,2,8827,6993,0,1200,0
1348,5.00E+05,Married,GradSch,Female,38,0,0,32715,60927,30007,30000,0
1349,280000,Single,GradSch,Female,39,0,0,2946,3326,3326,150,0
1350,50000,Married,Univ,Male,36,0,0,11665,12405,1232,1182,0
1351,370000,Married,Other,Female,39,0,0,250264,252955,10004,9498,0
1352,2.00E+05,Married,GradSch,Female,38,0,0,18660,27871,27010,30300,0
1353,30000,Married,Univ,Female,45,0,0,4042,5060,5327,2300,0
1354,90000,Single,GradSch,Female,37,0,0,38355,39413,1700,2404,0
1355,80000,Single,Univ,Female,32,0,0,80115,77427,75004,3096,0
1356,30000,Single,Univ,Female,39,0,0,28138,22517,2000,2000,0
1357,60000,Married,Univ,Female,40,0,0,58928,59446,2500,2300,0
1358,660000,Single,GradSch,Male,41,0,0,142417,122122,6500,6000,0
1359,30000,Single,Univ,Female,38,0,0,7244,8265,1142,1313,0
1360,250000,Married,Univ,Female,40,0,0,100323,37494,2500,5300,0
1361,60000,Married,Univ,Female,35,1,2,61049,57244,0,2400,0
1362,30000,Married,Univ,Female,33,0,0,411,995,1000,0,0
1363,50000,Married,Univ,Female,41,1,2,19208,19608,1000,3321,0
1364,480000,Married,GradSch,Female,36,0,0,14638,11940,11956,12331,0
1365,90000,Married,GradSch,Female,35,0,0,10242,10930,2006,2012,0
1366,150000,Married,GradSch,Male,35,0,0,80015,19386,19418,40010,0
1367,2.00E+05,Married,GradSch,Male,41,0,0,196770,202515,10500,9200,0
1368,10000,Single,Univ,Male,37,0,0,5748,3203,1189,1025,0
1369,250000,Married,Univ,Female,39,0,0,0,256,256,258,0
1370,20000,Single,Univ,Male,37,1,3,17077,17504,1000,0,0
1371,60000,Single,GradSch,Female,30,0,0,56793,57455,2342,3057,0
1372,2.00E+05,Married,GradSch,Male,37,0,0,1435,1270,1270,4000,0
1373,20000,Married,Univ,Male,41,1,2,9599,9296,0,2676,0
1374,80000,Single,Univ,Female,39,0,0,81358,69913,3126,3391,0
1375,350000,Married,GradSch,Male,41,0,0,27506,4213,4213,1529,0
1376,50000,Married,Univ,Female,39,0,0,24636,25064,1500,2300,0
1377,30000,Single,GradSch,Male,38,0,0,29160,29302,1494,1466,0
1378,50000,Married,Univ,Male,36,0,0,390,390,390,0,0
1379,60000,Single,Univ,Male,34,0,0,60660,57718,3500,1731,0
1380,230000,Married,GradSch,Female,39,0,0,225800,228342,8440,6100,0
1381,220000,Married,GradSch,Female,42,0,0,199040,182158,10032,7000,0
1382,20000,Married,GradSch,Female,30,0,0,17095,19112,3000,0,0
1383,180000,Married,GradSch,Female,34,0,0,780,0,0,780,0
1384,20000,Single,GradSch,Female,32,0,0,17471,14129,1400,3500,0
1385,50000,Single,GradSch,Male,35,0,0,50620,47164,3000,3014,0
1386,380000,Single,Univ,Female,39,0,0,381530,385605,32640,18077,0
1387,30000,Single,GradSch,Female,38,0,0,21101,21831,1374,2000,0
1388,170000,Single,Univ,Male,34,0,0,600,1598,1598,0,0
1389,50000,Single,GradSch,Female,37,2,2,31652,34207,3400,2301,0
1390,180000,Single,Univ,Female,38,0,0,54797,56909,3000,2100,0
1391,270000,Single,GradSch,Female,41,0,0,2016,1183,2000,2500,0
1392,240000,Single,GradSch,Male,37,0,0,6785,57953,58243,20469,0
1393,170000,Single,GradSch,Male,39,0,0,166708,85607,4000,4000,0
1394,50000,Single,Univ,Female,41,0,0,15167,16393,1523,1353,0
1395,420000,Married,Univ,Female,38,0,0,67877,68979,3527,3000,0
1396,210000,Single,GradSch,Female,37,1,0,0,0,0,0,0
1397,20000,Married,GradSch,Female,39,0,0,13506,14772,1500,2000,0
1398,360000,Married,GradSch,Male,46,0,0,5875,7279,7289,6918,0
1399,3.00E+05,Single,GradSch,Female,35,0,0,729,0,0,236,0
1400,220000,Married,GradSch,Female,44,0,0,316,316,316,396,0
1401,80000,Single,Univ,Female,38,0,0,89061,31367,4000,4000,0
1402,120000,Married,Univ,Female,38,0,0,15591,17156,7227,683,0
1403,30000,Single,GradSch,Male,41,0,0,28327,27406,1464,1458,0
1404,10000,Married,GradSch,Male,35,4,3,6744,6494,0,0,0
1405,210000,Married,GradSch,Female,41,0,0,187191,140417,4700,4500,0
1406,1.00E+05,Married,Univ,Female,37,0,0,28428,29753,1800,1900,0
1407,150000,Single,Univ,Female,34,0,0,15938,16128,1317,2008,0
1408,440000,Married,GradSch,Female,35,0,0,3982,12516,16282,16031,0
1409,80000,Married,Univ,Female,40,0,0,74652,76506,3700,3500,0
1410,250000,Single,GradSch,Female,34,0,0,43971,32009,1007,13346,0
1411,160000,Married,GradSch,Male,39,2,2,168501,160421,0,6322,0
1412,50000,Single,Univ,Female,44,0,0,23529,27889,4820,1500,0
1413,230000,Single,GradSch,Male,38,0,0,57171,56150,2100,2300,0
1414,170000,Single,Univ,Female,41,0,0,1606,1420,1420,1420,0
1415,220000,Single,Univ,Female,36,0,0,224166,219085,8200,7729,0
1416,1.00E+05,Single,GradSch,Male,41,0,0,7136,8515,1500,1500,0
1417,20000,Single,Univ,Female,39,0,0,10109,11153,3000,2000,0
1418,30000,Single,Univ,Female,36,0,0,0,780,780,3260,0
1419,5.00E+05,Married,GradSch,Male,34,0,0,13331,13307,13941,16392,0
1420,50000,Single,GradSch,Male,38,1,0,-9802,99,10000,103,0
1421,50000,Single,GradSch,Female,37,0,0,44402,44977,2000,3000,0
1422,180000,Married,GradSch,Male,38,0,0,111752,54470,2258,1734,0
1423,70000,Single,GradSch,Female,31,0,0,69572,71233,2828,2337,0
1424,30000,Single,GradSch,Male,34,0,0,7833,0,0,0,0
1425,60000,Married,Univ,Female,36,2,0,60211,55996,3000,2000,0
1426,260000,Single,GradSch,Male,41,1,0,0,0,0,0,0
1427,210000,Married,GradSch,Female,45,1,0,0,1690,1690,0,0
1428,310000,Single,GradSch,Male,39,0,0,17611,24122,10000,4000,0
1429,30000,Married,GradSch,Female,39,1,2,29622,28852,0,1700,0
1430,120000,Married,GradSch,Male,36,0,0,3465,5543,5558,5479,0
1431,420000,Married,Univ,Female,36,0,0,4904,5248,5332,5348,0
1432,60000,Single,Univ,Female,35,0,0,57711,58760,2500,2384,0
1433,2.00E+05,Married,Univ,Female,38,0,0,531,0,0,2358,0
1434,30000,Single,Univ,Female,37,0,0,30767,28818,1600,2517,0
1435,5.00E+05,Single,Univ,Male,38,0,0,380417,377866,9027,3634,0
1436,140000,Single,Univ,Female,40,0,0,515,0,0,0,0
1437,220000,Married,GradSch,Male,40,0,0,3455,11997,12001,5874,0
1438,80000,Single,Univ,Male,33,0,0,2970,-10,0,0,0
1439,2.00E+05,Married,GradSch,Male,38,0,0,11572,52799,55291,25120,0
1440,20000,Single,GradSch,Male,40,2,2,5119,5546,1500,1000,0
1441,110000,Other,GradSch,Female,40,2,0,67930,64654,2293,2255,0
1442,20000,Single,GradSch,Female,39,0,0,19364,19082,1358,1321,0
1443,60000,Single,GradSch,Female,37,2,0,322,530,563,8004,0
1444,150000,Other,Univ,Female,33,0,0,138765,135287,4772,6427,0
1445,2.00E+05,Other,Other,Female,41,0,0,225480,211608,7263,8857,0
1446,5.00E+05,Single,GradSch,Female,35,0,0,20614,18050,5001,3007,0
1447,150000,Married,GradSch,Female,37,0,0,885,-123,123,0,0
1448,80000,Single,GradSch,Female,30,0,0,34827,27881,27881,12532,0
1449,20000,Other,GradSch,Female,39,0,0,3680,0,0,543,0
1450,320000,Single,Univ,Male,33,0,0,289508,302561,21041,1514,0
1451,3.00E+05,Married,Univ,Male,40,0,0,181387,171685,8000,14500,0
1452,140000,Single,Univ,Female,36,0,0,34814,35806,1887,3000,0
1453,160000,Married,GradSch,Female,38,0,0,390,0,0,780,0
1454,1.00E+05,Single,GradSch,Male,41,0,0,98746,99118,4146,2556,0
1455,360000,Single,GradSch,Female,29,0,0,5446,-8,0,0,0
1456,50000,Single,GradSch,Male,37,0,0,13444,14819,1600,1700,0
1457,20000,Married,Univ,Male,39,0,0,20285,20256,1500,1800,0
1458,30000,Single,Univ,Female,34,3,2,30078,28639,87,2002,0
1459,170000,Married,GradSch,Female,41,0,0,163452,163148,7300,8000,0
1460,2.00E+05,Single,GradSch,Female,34,0,0,2615,9855,9855,21162,0
1461,180000,Single,GradSch,Male,41,0,0,18213,4390,4390,1016,0
1462,60000,Married,Univ,Male,39,0,0,60130,60655,3007,3015,0
1463,70000,Married,Univ,Male,31,0,0,68540,64645,3000,3000,0
1464,130000,Single,GradSch,Male,38,0,0,91092,94581,5000,3000,0
1465,80000,Married,GradSch,Female,43,0,2,9598,6278,60,8721,0
1466,20000,Married,Univ,Male,37,0,0,8570,10651,2620,0,0
1467,5.00E+05,Single,GradSch,Female,34,0,0,67475,72191,6000,2332,0
1468,30000,Single,Univ,Female,34,1,0,-1,604,605,0,0
1469,5.00E+05,Married,Univ,Male,35,0,0,13010,5016,5041,0,0
1470,340000,Married,Univ,Male,41,0,0,292302,88857,3904,4708,0
1471,250000,Married,GradSch,Female,36,0,0,6811,0,0,0,0
1472,80000,Single,Univ,Female,39,0,0,51980,36668,6670,5000,0
1473,90000,Single,GradSch,Female,36,0,0,77860,76387,3292,0,0
1474,30000,Single,GradSch,Male,38,1,0,0,0,0,22015,0
1475,290000,Single,GradSch,Female,36,0,0,14931,15090,15090,19239,0
1476,50000,Married,Univ,Male,37,4,3,51187,50106,0,0,0
1477,60000,Single,GradSch,Female,37,0,0,48890,43651,2000,1800,0
1478,230000,Married,Univ,Male,43,2,0,204643,197993,5805,2965,0
1479,3.00E+05,Single,GradSch,Female,36,0,0,-1282,-1282,0,133500,0
1480,3.00E+05,Single,Univ,Female,37,0,0,-904,1096,2000,1072,0
1481,410000,Married,GradSch,Female,40,1,0,0,0,0,0,0
1482,240000,Married,Other,Female,39,0,0,233918,235404,8357,10001,0
1483,1.00E+05,Single,GradSch,Male,38,0,0,30627,31894,2326,2000,0
1484,60000,Single,GradSch,Male,41,0,0,17054,16963,1600,1300,0
1485,230000,Married,Univ,Female,39,0,0,68755,35137,1607,4305,0
1486,80000,Single,Univ,Female,36,0,0,0,0,0,0,0
1487,80000,Single,GradSch,Male,39,0,0,74413,76817,7000,3000,0
1488,60000,Single,Univ,Female,38,0,0,45648,46850,1937,1301,0
1489,2.00E+05,Single,GradSch,Male,39,0,0,5448,7616,7616,14771,0
1490,350000,Single,Univ,Female,41,0,0,3738,7555,7555,36698,0
1491,140000,Married,GradSch,Male,36,2,0,98985,98702,4520,4034,0
1492,390000,Married,GradSch,Female,44,0,0,60697,64440,5000,5000,0
1493,90000,Single,Univ,Female,37,1,2,86335,88520,4500,4100,0
1494,1.00E+05,Single,GradSch,Female,37,0,0,70205,64898,4000,5030,0
1495,180000,Married,Univ,Male,31,0,0,14480,33915,34045,5217,0
1496,250000,Single,Univ,Female,39,0,0,603,1867,1867,2661,0
1497,230000,Single,GradSch,Male,39,0,0,32375,36817,5000,5000,0
1498,170000,Married,GradSch,Male,38,0,0,82898,80400,10000,1400,0
1499,320000,Single,GradSch,Female,37,0,0,13122,6796,1500,8000,0
1500,360000,Married,GradSch,Male,36,0,0,3771,900,900,0,0
1501,120000,Single,GradSch,Female,41,0,0,11245,12554,1500,1265,0
1502,160000,Married,GradSch,Female,35,0,0,102358,103698,4671,1048,0
1503,2.00E+05,Married,GradSch,Female,36,1,0,0,114558,114558,3796,0
1504,210000,Single,Univ,Male,37,0,0,197204,201218,8800,9000,0
1505,280000,Single,Univ,Female,32,0,0,1616,1198,1198,494,0
1506,30000,Single,Univ,Female,36,0,0,318,0,0,0,0
1507,2.00E+05,Single,GradSch,Male,38,1,0,-5,3465,3470,3191,0
1508,180000,Single,GradSch,Female,38,0,0,149525,152460,7320,6100,0
1509,3.00E+05,Single,Univ,Female,39,0,0,1215,43909,43943,27863,0
1510,150000,Married,Univ,Male,37,0,0,890,-180,0,281,0
1511,3.00E+05,Married,GradSch,Female,33,0,0,149893,152529,7000,6000,0
1512,50000,Single,GradSch,Female,33,0,0,48926,49759,2019,2063,0
1513,20000,Single,GradSch,Male,38,0,0,15848,16883,1595,1551,0
1514,210000,Single,GradSch,Male,43,0,0,862,1136,1144,1515,0
1515,150000,Married,GradSch,Female,44,0,0,5211,33474,33522,18516,0
1516,260000,Single,GradSch,Female,30,1,2,234922,227802,6,6918,0
1517,140000,Married,Univ,Female,38,0,0,100064,95224,6029,30000,0
1518,360000,Married,GradSch,Female,37,1,0,-6,1191,1197,23931,0
1519,120000,Single,GradSch,Female,39,0,0,79072,80795,3000,3000,0
1520,220000,Single,GradSch,Male,35,0,0,29549,28267,2000,3000,0
1521,360000,Married,GradSch,Male,36,0,0,16230,-200,0,200,0
1522,240000,Married,GradSch,Female,37,0,0,9187,4740,5005,5240,0
1523,50000,Single,Univ,Male,38,0,0,47282,47535,2500,2000,0
1524,30000,Married,Univ,Female,43,0,0,4527,7427,3000,6000,0
1525,80000,Single,GradSch,Female,39,0,0,71834,70194,3200,3500,0
1526,50000,Single,Univ,Male,35,0,0,50148,50522,2064,2005,0
1527,20000,Single,Univ,Female,33,0,0,13660,15056,2000,1000,0
1528,80000,Married,GradSch,Female,38,2,0,82198,80531,3543,1139,0
1529,470000,Married,Univ,Male,42,0,0,169260,161760,6600,6170,0
1530,170000,Married,Univ,Male,35,0,0,390,390,390,780,0
1531,270000,Single,Univ,Female,35,0,0,-33,-33,0,24679,0
1532,4.00E+05,Single,GradSch,Female,35,0,0,5154,6016,1060,1100,0
1533,150000,Single,Univ,Male,32,0,0,8821,5943,5964,6588,0
1534,3.00E+05,Married,GradSch,Female,37,0,0,30153,28384,2000,2000,0
1535,50000,Single,Univ,Male,41,1,1,50209,-2522,0,2931,0
1536,2.00E+05,Single,GradSch,Female,38,0,0,0,0,0,69084,0
1537,20000,Single,Univ,Male,40,0,0,10462,3327,10287,19305,0
1538,190000,Married,GradSch,Male,40,0,0,30425,31419,1467,1498,0
1539,20000,Single,Univ,Male,40,0,0,14558,17212,3200,0,0
1540,20000,Single,Univ,Female,39,0,0,16641,17969,1602,1268,0
1541,390000,Single,GradSch,Female,39,0,0,20666,20666,20666,10000,0
1542,2.00E+05,Married,GradSch,Female,38,0,0,6666,6666,6666,6666,0
1543,360000,Single,GradSch,Male,34,0,0,304883,301286,15000,9221,0
1544,50000,Single,Univ,Female,38,0,0,48517,49391,3000,2000,0
1545,170000,Married,GradSch,Female,43,0,0,10309,4944,4944,28144,0
1546,80000,Married,Univ,Female,34,0,0,77883,81811,5800,1000,0
1547,1.00E+05,Single,Univ,Female,33,0,0,12566,2421,3061,1390,0
1548,30000,Married,Univ,Female,40,0,0,29187,29254,1505,1457,0
1549,150000,Single,GradSch,Female,33,2,0,107603,109835,5500,5500,0
1550,390000,Single,Univ,Male,40,0,0,198132,192975,9124,3181,0
1551,280000,Married,GradSch,Female,39,0,0,89739,73565,4000,6000,0
1552,140000,Married,Univ,Female,35,0,0,81960,81757,3005,3000,0
1553,230000,Married,Univ,Male,44,0,0,60528,49036,5000,0,0
1554,180000,Married,GradSch,Male,36,0,0,142826,61650,3000,0,0
1555,4.00E+05,Single,Univ,Male,34,0,0,61705,58018,3000,3000,0
1556,3.00E+05,Married,GradSch,Male,38,0,0,0,0,0,0,0
1557,20000,Married,Univ,Female,39,1,2,14112,11221,3520,0,0
1558,280000,Married,GradSch,Female,39,0,0,50415,59538,10000,10000,0
1559,50000,Married,Other,Female,39,0,0,43268,39605,2011,2000,0
1560,320000,Single,Univ,Male,31,0,0,5799,70891,70891,7001,0
1561,190000,Married,Univ,Male,37,0,0,79584,83108,7007,2912,0
1562,1.00E+05,Single,GradSch,Male,38,1,0,0,0,0,0,0
1563,80000,Married,GradSch,Female,37,0,0,42124,1833,1835,2458,0
1564,50000,Single,Univ,Female,35,0,0,4406,3732,3000,0,0
1565,40000,Single,Univ,Male,34,0,0,37408,37681,1931,1888,0
1566,1.00E+05,Single,Univ,Female,36,0,0,22173,22776,1372,1829,0
1567,410000,Married,Univ,Female,36,0,0,407873,412650,18026,18026,0
1568,310000,Single,GradSch,Female,30,0,0,27283,28286,1459,1600,0
1569,420000,Married,GradSch,Female,30,0,0,0,0,0,277510,0
1570,320000,Married,GradSch,Male,39,0,0,2790,3266,3349,12253,0
1571,1.00E+05,Single,Univ,Female,31,0,0,42713,50270,10000,10000,0
1572,2.00E+05,Single,GradSch,Female,40,0,0,3655,3036,3084,3475,0
1573,2.00E+05,Single,GradSch,Female,38,0,0,196875,180428,7657,4814,0
1574,490000,Single,GradSch,Male,38,0,0,156021,155635,8030,9071,0
1575,360000,Married,Univ,Male,38,0,0,29814,22699,1333,2500,0
1576,4.00E+05,Married,GradSch,Female,36,0,0,229714,222726,11477,8000,0
1577,60000,Married,Univ,Female,32,0,0,63578,61347,2188,2285,0
1578,80000,Married,GradSch,Female,38,0,0,34965,35660,1578,2000,0
1579,80000,Single,Univ,Male,36,1,2,77389,75585,0,6000,0
1580,2.00E+05,Single,GradSch,Female,41,0,0,3938,8556,8576,4850,0
1581,50000,Married,Univ,Male,35,0,0,8988,6849,1200,2000,0
1582,20000,Single,GradSch,Female,40,0,0,12193,11242,5015,0,0
1583,30000,Married,GradSch,Female,41,0,0,24885,25886,1215,1230,0
1584,160000,Single,GradSch,Female,40,0,0,5323,1714,1726,2235,0
1585,50000,Single,GradSch,Male,35,0,0,16645,18368,2000,2000,0
1586,5.00E+05,Married,Univ,Male,35,0,0,1010,4682,4682,5000,0
1587,210000,Single,Univ,Male,32,0,0,4206,3980,3980,7509,0
1588,390000,Single,GradSch,Female,39,1,0,0,0,0,6757,0
1589,50000,Married,Univ,Female,42,0,0,30640,31546,1746,1800,0
1590,20000,Married,Univ,Female,33,1,2,14710,14166,0,1253,0
1591,50000,Single,Univ,Male,31,0,0,23244,24364,1500,1500,0
1592,150000,Single,GradSch,Male,39,0,0,201864,121338,13230,31280,0
1593,190000,Married,GradSch,Female,36,0,3,8121,6523,0,0,0
1594,20000,Married,Univ,Female,37,0,2,6565,4460,0,1500,0
1595,2.00E+05,Single,Univ,Female,41,0,0,30833,34322,4000,3000,0
1596,5.00E+05,Married,GradSch,Female,35,0,0,3852,2395,2403,4730,0
1597,2.00E+05,Married,GradSch,Male,36,0,0,513,974,974,4271,0
1598,380000,Single,GradSch,Male,38,0,0,70591,76715,10000,5000,0
1599,150000,Married,Univ,Male,43,1,0,-7,4422,4429,367,0
1600,4.00E+05,Married,GradSch,Female,39,0,0,-4,1054,1058,1427,0
1601,90000,Single,GradSch,Male,36,0,0,498,498,498,498,0
1602,1.00E+05,Single,GradSch,Female,40,0,0,14309,11226,1268,2184,0
1603,5.00E+05,Single,GradSch,Male,36,1,0,-453,1168,2336,1215,0
1604,330000,Married,GradSch,Male,39,0,0,2184,2184,2184,2184,0
1605,50000,Single,GradSch,Male,41,0,0,0,0,0,0,0
1606,130000,Single,GradSch,Male,41,0,0,87685,89577,3300,3130,0
1607,50000,Other,Univ,Female,38,0,0,49005,49407,6000,5000,0
1608,180000,Single,GradSch,Male,33,0,0,0,0,0,0,0
1609,20000,Married,GradSch,Female,40,0,0,18650,15456,1300,1300,0
1610,50000,Single,GradSch,Female,37,1,2,50789,52158,2500,0,0
1611,2.00E+05,Married,Univ,Male,39,0,0,74150,66378,3000,5000,0
1612,150000,Single,Univ,Female,36,0,0,167317,166596,10000,10000,0
1613,3.00E+05,Single,Univ,Female,37,0,0,1800,1800,1800,2148,0
1614,70000,Married,GradSch,Female,33,1,0,0,0,0,0,0
1615,3.00E+05,Married,GradSch,Female,38,0,0,12090,15035,15042,25500,0
1616,5.00E+05,Single,Univ,Female,35,0,0,-9,-9,0,0,0
1617,270000,Married,Univ,Female,37,0,0,116315,119103,6500,6843,0
1618,640000,Single,GradSch,Male,32,0,0,192325,68891,4000,4000,0
1619,210000,Married,Univ,Female,39,0,0,128553,109234,3762,3808,0
1620,30000,Single,GradSch,Female,33,1,2,5830,1330,0,909,0
1621,170000,Single,GradSch,Female,33,0,0,6699,2999,2999,4904,0
1622,210000,Single,GradSch,Male,39,0,0,218742,218317,10000,5000,0
1623,360000,Married,GradSch,Male,38,0,0,826,4741,4765,6395,0
1624,250000,Single,Univ,Female,40,0,0,124353,132251,10000,19888,0
1625,150000,Single,Other,Female,39,0,0,232327,237150,5877,5419,0
1626,90000,Married,GradSch,Male,31,0,0,86200,81995,2500,1000,0
1627,230000,Married,Univ,Female,35,0,0,7302,4561,2001,2001,0
1628,50000,Single,Univ,Male,39,1,2,52319,51185,0,3200,0
1629,360000,Single,Univ,Male,40,0,0,0,0,0,0,0
1630,80000,Married,Univ,Male,43,0,0,37822,40900,3700,0,0
1631,120000,Single,Univ,Male,38,0,0,120633,118741,4622,3384,0
1632,90000,Married,GradSch,Female,41,0,0,16139,7199,4367,9,0
1633,140000,Married,GradSch,Male,32,0,0,1045,1947,1952,1001,0
1634,1.00E+05,Single,Univ,Female,34,0,0,14891,-709,0,0,0
1635,50000,Married,GradSch,Female,38,0,0,50906,48888,2009,1180,0
1636,280000,Single,Univ,Female,38,0,0,259637,259593,10028,12500,0
1637,10000,Single,GradSch,Female,37,0,0,3671,4945,1500,1300,0
1638,20000,Single,Univ,Male,34,0,0,19435,19790,2003,1448,0
1639,30000,Single,Univ,Male,40,0,0,1659,1473,1473,390,0
1640,120000,Single,Univ,Female,37,0,0,68168,69187,2650,2884,0
1641,60000,Married,Univ,Female,36,1,2,57388,58381,2522,0,0
1642,1.00E+05,Single,GradSch,Female,39,0,0,12660,5000,5000,0,0
1643,90000,Other,Univ,Female,37,1,2,89762,90395,3000,2773,0
1644,30000,Married,GradSch,Female,36,1,2,28041,23367,13,2003,0
1645,50000,Single,GradSch,Female,34,1,2,43810,44184,1500,1300,0
1646,5.00E+05,Married,GradSch,Female,34,0,0,435737,421983,20157,13670,0
1647,70000,Single,GradSch,Male,33,0,0,43214,44196,2000,2000,0
1648,1.00E+05,Single,Univ,Female,41,0,0,7815,11139,5000,1000,0
1649,160000,Married,Univ,Male,36,1,0,-3,-3,0,1003,0
1650,110000,Married,Univ,Female,40,0,0,55349,52914,2096,2003,0
1651,310000,Married,Univ,Female,36,0,0,21692,19697,19697,2270,0
1652,170000,Single,Univ,Female,38,0,0,153123,151050,7000,6000,0
1653,3.00E+05,Married,GradSch,Female,37,0,0,272899,254078,9251,10505,0
1654,410000,Single,GradSch,Female,31,0,0,309531,313646,11270,15325,0
1655,360000,Married,GradSch,Female,39,0,0,50067,17607,17607,41285,0
1656,90000,Married,GradSch,Female,40,0,0,85376,86326,4326,4322,0
1657,20000,Married,GradSch,Female,36,0,0,2946,0,0,390,0
1658,50000,Married,Univ,Female,32,0,0,24380,23325,1366,1400,0
1659,160000,Single,Univ,Female,43,0,0,156098,156259,6000,6000,0
1660,320000,Married,Univ,Male,34,0,0,103918,93768,9203,3317,0
1661,230000,Married,Univ,Female,35,0,0,160413,149267,6011,5012,0
1662,460000,Married,GradSch,Female,36,0,0,43792,35047,1600,1000,0
1663,50000,Married,GradSch,Male,34,0,0,5472,5891,1500,1000,0
1664,2.00E+05,Single,Univ,Male,37,0,0,29804,30892,20044,10198,0
1665,180000,Married,Univ,Female,37,1,2,146549,150151,7641,3,0
1666,60000,Married,Univ,Female,39,0,0,56970,58848,3000,2000,0
1667,50000,Married,Univ,Female,38,0,0,45578,41906,3016,5003,0
1668,30000,Single,GradSch,Female,42,0,0,22271,23273,1379,1454,0
1669,2.00E+05,Married,GradSch,Female,36,0,0,40559,44565,5000,3000,0
1670,20000,Married,Univ,Female,41,0,0,10827,8264,8264,2480,0
1671,30000,Single,Univ,Male,41,0,0,30620,30432,2000,2500,0
1672,360000,Single,GradSch,Female,36,0,0,96169,96586,4000,4223,0
1673,320000,Single,GradSch,Female,36,0,0,10283,2488,2488,5209,0
1674,50000,Single,GradSch,Female,44,0,0,25577,26352,1269,1284,0
1675,150000,Single,GradSch,Male,34,0,0,3425,9009,9054,0,0
1676,5.00E+05,Married,GradSch,Male,33,0,0,107782,10961,11016,11602,0
1677,380000,Married,GradSch,Male,39,0,0,95972,123558,30027,0,0
1678,470000,Married,GradSch,Female,35,0,0,0,0,0,0,0
1679,510000,Married,GradSch,Male,40,0,0,3196,16447,16447,3317,0
1680,160000,Married,GradSch,Female,40,0,0,4473,4664,4664,5969,0
1681,390000,Married,GradSch,Male,40,0,0,4197,4688,4711,63701,0
1682,240000,Single,Univ,Female,43,0,0,34752,30073,30073,24315,0
1683,20000,Single,GradSch,Female,38,0,0,942,942,942,9849,0
1684,110000,Married,Univ,Female,38,0,0,33536,30155,3000,2000,0
1685,230000,Married,Univ,Female,38,0,0,8136,3590,1500,1000,0
1686,150000,Single,Univ,Female,38,0,0,152349,152359,7000,7000,0
1687,270000,Single,GradSch,Female,35,0,0,7842,6380,6380,16098,0
1688,210000,Single,GradSch,Male,39,0,0,931,2562,2570,0,0
1689,20000,Married,Univ,Female,38,1,2,8395,8114,0,2479,0
1690,70000,Married,Univ,Female,37,0,0,67088,64376,2244,2301,0
1691,130000,Single,GradSch,Male,39,0,0,109383,106149,5300,1700,0
1692,190000,Married,GradSch,Female,43,1,2,194487,189894,92,7791,0
1693,130000,Single,GradSch,Female,35,0,0,5002,2437,2437,2774,0
1694,10000,Single,GradSch,Male,34,0,2,10252,5677,0,2735,0
1695,360000,Married,GradSch,Female,35,0,0,1873,13532,13537,5762,0
1696,430000,Single,GradSch,Female,37,0,0,34785,0,0,18518,0
1697,1.00E+05,Single,GradSch,Male,39,0,0,4270,0,0,0,0
1698,1.00E+05,Married,Univ,Female,41,0,0,92265,93873,5000,1473,0
1699,180000,Single,GradSch,Male,40,0,0,1430,1785,1785,435,0
1700,80000,Single,GradSch,Male,40,0,0,72840,74631,9000,5000,0
1701,160000,Single,Univ,Female,34,0,0,21570,7501,7545,10841,0
1702,60000,Married,Univ,Male,37,0,0,58634,59541,3000,31404,0
1703,330000,Single,Univ,Female,38,0,0,76279,79179,4179,5000,0
1704,270000,Married,Univ,Female,35,0,0,11489,8874,8874,3567,0
1705,50000,Married,GradSch,Female,37,0,0,50019,18458,1400,1229,0
1706,330000,Married,GradSch,Female,41,0,0,94384,46006,4000,3000,0
1707,3.00E+05,Single,GradSch,Female,36,0,0,22443,31175,31175,26476,0
1708,280000,Single,GradSch,Female,36,0,0,14697,4492,4501,2343,0
1709,460000,Single,GradSch,Female,35,0,0,81252,74766,5020,10027,0
1710,5.00E+05,Married,GradSch,Female,36,0,0,185419,10573,10573,0,0
1711,130000,Single,Univ,Male,40,0,0,131446,102650,5000,0,0
1712,40000,Single,GradSch,Female,38,1,0,0,450,450,0,0
1713,470000,Single,Univ,Female,41,0,0,5631,404,404,0,0
1714,80000,Married,GradSch,Female,41,0,0,72462,41300,3000,0,0
1715,20000,Married,Univ,Male,39,0,0,15226,16658,2000,3300,0
1716,50000,Single,GradSch,Male,39,0,0,47917,48455,1988,1989,0
